"FE_ID","FE_CODE","FE_DESC","FE_AMOUNT","FC_ID"
"1","FEE","Tax Declaration","1500","1"
"2","FEE","Tax Clearance","1200","1"
"3","FEE","New Business Registration","500","2"
"4","FEE","Business Permit Renewal","300","2"
"5","FEE","Business Permit Transfer","500","2"
"6","FEE","Business Permit Cancellation","300","2"
"7","FEE","Vehicle Operator's Permit Registration","500","3"
"8","FEE","Vehicle Operator's Permit Renewal","400","3"
"9","FEE","Vehicle Operator's Permit Cancellation","500","3"
"10","FEE","Vehicle Unit Permit Modification","700","3"
"11","FEE","Miscellaneous","500","4"
